#timebase=40000000(ps)
,#voltbase=5000(mv/100)
#size=4064
2.00E-07,-0.000
4.00E-07,-0.000
6.00E-07,0.000
8.00E-07,-0.000
1.00E-06,0.000
1.20E-06,0.000
1.40E-06,-0.000
1.60E-06,0.000
1.80E-06,0.000
2.00E-06,-0.000
2.20E-06,0.002
2.40E-06,0.000
2.60E-06,0.000
2.80E-06,0.001
3.00E-06,0.000
3.20E-06,0.000
3.40E-06,-0.000
3.60E-06,-0.001
3.80E-06,-0.000
4.00E-06,0.000
4.20E-06,0.000
4.40E-06,0.000
4.60E-06,0.000
4.80E-06,0.000
5.00E-06,0.000
5.20E-06,0.001
5.40E-06,0.001
5.60E-06,0.000
5.80E-06,0.001
6.00E-06,0.000
6.20E-06,0.001
6.40E-06,0.001
6.60E-06,0.001
6.80E-06,0.001
7.00E-06,0.002
7.20E-06,0.002
7.40E-06,0.002
7.60E-06,0.002
7.80E-06,0.002
8.00E-06,0.001
8.20E-06,0.002
8.40E-06,0.002
8.60E-06,0.002
8.80E-06,0.002
9.00E-06,0.002
9.20E-06,0.002
9.40E-06,0.002
9.60E-06,0.002
9.80E-06,0.002
1.00E-05,0.002
1.02E-05,0.002
1.04E-05,0.002
1.06E-05,0.002
1.08E-05,0.002
1.10E-05,0.002
1.12E-05,0.002
1.14E-05,0.002
1.16E-05,0.002
1.18E-05,0.002
1.20E-05,0.002
1.22E-05,0.002
1.24E-05,0.002
1.26E-05,0.002
1.28E-05,0.002
1.30E-05,0.002
1.32E-05,0.002
1.34E-05,0.003
1.36E-05,0.002
1.38E-05,0.001
1.40E-05,0.002
1.42E-05,0.002
1.44E-05,0.003
1.46E-05,0.002
1.48E-05,0.002
1.50E-05,0.002
1.52E-05,0.002
1.54E-05,0.003
1.56E-05,0.003
1.58E-05,0.002
1.60E-05,0.002
1.62E-05,0.002
1.64E-05,0.001
1.66E-05,0.002
1.68E-05,0.002
1.70E-05,0.001
1.72E-05,0.001
1.74E-05,0.001
1.76E-05,0.002
1.78E-05,0.002
1.80E-05,0.001
1.82E-05,0.001
1.84E-05,0.002
1.86E-05,0.002
1.88E-05,0.001
1.90E-05,0.001
1.92E-05,0.002
1.94E-05,0.002
1.96E-05,0.002
1.98E-05,0.001
2.00E-05,0.001
2.02E-05,0.000
2.04E-05,0.001
2.06E-05,0.002
2.08E-05,0.002
2.10E-05,0.002
2.12E-05,0.002
2.14E-05,0.002
2.16E-05,0.003
2.18E-05,0.002
2.20E-05,0.003
2.22E-05,0.002
2.24E-05,0.003
2.26E-05,0.002
2.28E-05,0.003
2.30E-05,0.002
2.32E-05,0.003
2.34E-05,0.003
2.36E-05,0.003
2.38E-05,0.003
2.40E-05,0.002
2.42E-05,0.002
2.44E-05,0.002
2.46E-05,0.002
2.48E-05,0.003
2.50E-05,0.003
2.52E-05,0.003
2.54E-05,0.003
2.56E-05,0.003
2.58E-05,0.004
2.60E-05,0.004
2.62E-05,0.004
2.64E-05,0.004
2.66E-05,0.005
2.68E-05,0.005
2.70E-05,0.005
2.72E-05,0.004
2.74E-05,0.005
2.76E-05,0.004
2.78E-05,0.005
2.80E-05,0.004
2.82E-05,0.004
2.84E-05,0.005
2.86E-05,0.005
2.88E-05,0.005
2.90E-05,0.005
2.92E-05,0.005
2.94E-05,0.005
2.96E-05,0.004
2.98E-05,0.005
3.00E-05,0.005
3.02E-05,0.005
3.04E-05,0.005
3.06E-05,0.004
3.08E-05,0.005
3.10E-05,0.005
3.12E-05,0.005
3.14E-05,0.005
3.16E-05,0.005
3.18E-05,0.005
3.20E-05,0.003
3.22E-05,0.005
3.24E-05,0.006
3.26E-05,0.006
3.28E-05,0.006
3.30E-05,0.005
3.32E-05,0.006
3.34E-05,0.006
3.36E-05,0.006
3.38E-05,0.006
3.40E-05,0.005
3.42E-05,0.006
3.44E-05,0.005
3.46E-05,0.005
3.48E-05,0.005
3.50E-05,0.006
3.52E-05,0.005
3.54E-05,0.005
3.56E-05,0.005
3.58E-05,0.005
3.60E-05,0.004
3.62E-05,0.004
3.64E-05,0.004
3.66E-05,0.004
3.68E-05,0.004
3.70E-05,0.005
3.72E-05,0.004
3.74E-05,0.005
3.76E-05,0.004
3.78E-05,0.004
3.80E-05,0.004
3.82E-05,0.004
3.84E-05,0.005
3.86E-05,0.004
3.88E-05,0.004
3.90E-05,0.005
3.92E-05,0.005
3.94E-05,0.004
3.96E-05,0.005
3.98E-05,0.005
4.00E-05,0.005
4.02E-05,0.005
4.04E-05,0.005
4.06E-05,0.005
4.08E-05,0.005
4.10E-05,0.006
4.12E-05,0.006
4.14E-05,0.005
4.16E-05,0.005
4.18E-05,0.005
4.20E-05,0.005
4.22E-05,0.005
4.24E-05,0.005
4.26E-05,0.007
4.28E-05,0.006
4.30E-05,0.006
4.32E-05,0.006
4.34E-05,0.005
4.36E-05,0.005
4.38E-05,0.005
4.40E-05,0.005
4.42E-05,0.005
4.44E-05,0.006
4.46E-05,0.006
4.48E-05,0.006
4.50E-05,0.006
4.52E-05,0.007
4.54E-05,0.007
4.56E-05,0.007
4.58E-05,0.007
4.60E-05,0.007
4.62E-05,0.007
4.64E-05,0.007
4.66E-05,0.007
4.68E-05,0.008
4.70E-05,0.008
4.72E-05,0.007
4.74E-05,0.007
4.76E-05,0.007
4.78E-05,0.006
4.80E-05,0.005
4.82E-05,0.006
4.84E-05,0.006
4.86E-05,0.007
4.88E-05,0.006
4.90E-05,0.005
4.92E-05,0.005
4.94E-05,0.005
4.96E-05,0.005
4.98E-05,0.006
5.00E-05,0.004
5.02E-05,0.004
5.04E-05,0.005
5.06E-05,0.006
5.08E-05,0.005
5.10E-05,0.004
5.12E-05,0.004
5.14E-05,0.004
5.16E-05,0.004
5.18E-05,0.004
5.20E-05,0.004
5.22E-05,0.002
5.24E-05,0.003
5.26E-05,0.004
5.28E-05,0.004
5.30E-05,0.004
5.32E-05,0.003
5.34E-05,0.003
5.36E-05,0.004
5.38E-05,0.004
5.40E-05,0.002
5.42E-05,0.003
5.44E-05,0.003
5.46E-05,0.003
5.48E-05,0.002
5.50E-05,0.002
5.52E-05,0.001
5.54E-05,0.002
5.56E-05,0.001
5.58E-05,0.001
5.60E-05,0.001
5.62E-05,0.001
5.64E-05,0.001
5.66E-05,0.001
5.68E-05,0.001
5.70E-05,0.001
5.72E-05,0.000
5.74E-05,0.000
5.76E-05,0.001
5.78E-05,0.000
5.80E-05,0.000
5.82E-05,0.001
5.84E-05,0.000
5.86E-05,-0.000
5.88E-05,0.000
5.90E-05,0.000
5.92E-05,0.000
5.94E-05,0.000
5.96E-05,0.000
5.98E-05,0.001
6.00E-05,0.001
6.02E-05,0.002
6.04E-05,0.001
6.06E-05,0.001
6.08E-05,0.001
6.10E-05,0.001
6.12E-05,0.001
6.14E-05,0.000
6.16E-05,0.001
6.18E-05,0.001
6.20E-05,0.001
6.22E-05,0.001
6.24E-05,0.001
6.26E-05,0.001
6.28E-05,0.001
6.30E-05,0.001
6.32E-05,0.000
6.34E-05,0.002
