#timebase=40000000(ps)
,#voltbase=5000(mv/100)
#size=4064
2.00E-07,0.010
4.00E-07,0.010
6.00E-07,0.010
8.00E-07,0.010
1.00E-06,0.009
1.20E-06,0.010
1.40E-06,0.010
1.60E-06,0.010
1.80E-06,0.010
2.00E-06,0.010
2.20E-06,0.011
2.40E-06,0.010
2.60E-06,0.010
2.80E-06,0.011
3.00E-06,0.010
3.20E-06,0.010
3.40E-06,0.010
3.60E-06,0.010
3.80E-06,0.009
4.00E-06,0.010
4.20E-06,0.011
4.40E-06,0.010
4.60E-06,0.010
4.80E-06,0.010
5.00E-06,0.010
5.20E-06,0.009
5.40E-06,0.009
5.60E-06,0.008
5.80E-06,0.009
6.00E-06,0.009
6.20E-06,0.010
6.40E-06,0.009
6.60E-06,0.009
6.80E-06,0.010
7.00E-06,0.009
7.20E-06,0.009
7.40E-06,0.008
7.60E-06,0.009
7.80E-06,0.009
8.00E-06,0.009
8.20E-06,0.009
8.40E-06,0.009
8.60E-06,0.009
8.80E-06,0.009
9.00E-06,0.009
9.20E-06,0.009
9.40E-06,0.010
9.60E-06,0.009
9.80E-06,0.009
1.00E-05,0.010
1.02E-05,0.009
1.04E-05,0.009
1.06E-05,0.010
1.08E-05,0.010
1.10E-05,0.010
1.12E-05,0.010
1.14E-05,0.009
1.16E-05,0.009
1.18E-05,0.009
1.20E-05,0.008
1.22E-05,0.009
1.24E-05,0.008
1.26E-05,0.008
1.28E-05,0.008
1.30E-05,0.007
1.32E-05,0.007
1.34E-05,0.007
1.36E-05,0.007
1.38E-05,0.007
1.40E-05,0.007
1.42E-05,0.007
1.44E-05,0.007
1.46E-05,0.007
1.48E-05,0.007
1.50E-05,0.007
1.52E-05,0.006
1.54E-05,0.007
1.56E-05,0.007
1.58E-05,0.007
1.60E-05,0.006
1.62E-05,0.007
1.64E-05,0.006
1.66E-05,0.006
1.68E-05,0.006
1.70E-05,0.006
1.72E-05,0.006
1.74E-05,0.005
1.76E-05,0.006
1.78E-05,0.006
1.80E-05,0.006
1.82E-05,0.005
1.84E-05,0.006
1.86E-05,0.005
1.88E-05,0.003
1.90E-05,0.005
1.92E-05,0.003
1.94E-05,0.003
1.96E-05,0.003
1.98E-05,0.003
2.00E-05,0.004
2.02E-05,0.004
2.04E-05,0.004
2.06E-05,0.004
2.08E-05,0.004
2.10E-05,0.003
2.12E-05,0.003
2.14E-05,0.003
2.16E-05,0.003
2.18E-05,0.003
2.20E-05,0.003
2.22E-05,0.003
2.24E-05,0.004
2.26E-05,0.003
2.28E-05,0.003
2.30E-05,0.003
2.32E-05,0.003
2.34E-05,0.003
2.36E-05,0.004
2.38E-05,0.002
2.40E-05,0.001
2.42E-05,0.001
2.44E-05,0.001
2.46E-05,0.001
2.48E-05,0.001
2.50E-05,0.002
2.52E-05,0.001
2.54E-05,0.000
2.56E-05,0.001
2.58E-05,0.001
2.60E-05,0.001
2.62E-05,0.001
2.64E-05,0.001
2.66E-05,0.001
2.68E-05,0.001
2.70E-05,0.000
2.72E-05,0.002
2.74E-05,0.000
2.76E-05,0.001
2.78E-05,0.001
2.80E-05,0.000
2.82E-05,0.000
2.84E-05,-0.000
2.86E-05,0.001
2.88E-05,0.001
2.90E-05,0.001
2.92E-05,0.001
2.94E-05,0.001
2.96E-05,0.001
2.98E-05,0.000
3.00E-05,0.001
3.02E-05,0.002
3.04E-05,0.002
3.06E-05,0.002
3.08E-05,0.001
3.10E-05,0.001
3.12E-05,0.000
3.14E-05,0.001
3.16E-05,0.001
3.18E-05,0.000
3.20E-05,0.001
3.22E-05,0.001
3.24E-05,0.001
3.26E-05,0.000
3.28E-05,0.001
3.30E-05,0.001
3.32E-05,0.001
3.34E-05,0.002
3.36E-05,0.002
3.38E-05,0.002
3.40E-05,0.002
3.42E-05,0.001
3.44E-05,0.002
3.46E-05,0.003
3.48E-05,0.003
3.50E-05,0.003
3.52E-05,0.003
3.54E-05,0.002
3.56E-05,0.002
3.58E-05,0.003
3.60E-05,0.002
3.62E-05,0.003
3.64E-05,0.003
3.66E-05,0.003
3.68E-05,0.003
3.70E-05,0.003
3.72E-05,0.003
3.74E-05,0.003
3.76E-05,0.003
3.78E-05,0.003
3.80E-05,0.003
3.82E-05,0.003
3.84E-05,0.003
3.86E-05,0.003
3.88E-05,0.004
3.90E-05,0.003
3.92E-05,0.003
3.94E-05,0.003
3.96E-05,0.002
3.98E-05,0.005
4.00E-05,0.003
4.02E-05,0.002
4.04E-05,0.003
4.06E-05,0.004
4.08E-05,0.004
4.10E-05,0.003
4.12E-05,0.003
4.14E-05,0.003
4.16E-05,0.003
4.18E-05,0.004
4.20E-05,0.005
4.22E-05,0.004
4.24E-05,0.004
4.26E-05,0.004
4.28E-05,0.004
4.30E-05,0.004
4.32E-05,0.004
4.34E-05,0.003
4.36E-05,0.004
4.38E-05,0.003
4.40E-05,0.004
4.42E-05,0.002
4.44E-05,0.002
4.46E-05,0.003
4.48E-05,0.002
4.50E-05,0.003
4.52E-05,0.003
4.54E-05,0.002
4.56E-05,0.003
4.58E-05,0.002
4.60E-05,0.003
4.62E-05,0.003
4.64E-05,0.003
4.66E-05,0.002
4.68E-05,0.003
4.70E-05,0.003
4.72E-05,0.003
4.74E-05,0.002
4.76E-05,0.003
4.78E-05,0.003
4.80E-05,0.004
4.82E-05,0.003
4.84E-05,0.003
4.86E-05,0.004
4.88E-05,0.003
4.90E-05,0.004
4.92E-05,0.004
4.94E-05,0.004
4.96E-05,0.004
4.98E-05,0.004
5.00E-05,0.003
5.02E-05,0.003
5.04E-05,0.003
5.06E-05,0.004
5.08E-05,0.004
5.10E-05,0.004
5.12E-05,0.004
5.14E-05,0.004
5.16E-05,0.004
5.18E-05,0.004
5.20E-05,0.004
5.22E-05,0.004
5.24E-05,0.004
5.26E-05,0.004
5.28E-05,0.005
5.30E-05,0.004
5.32E-05,0.004
5.34E-05,0.005
5.36E-05,0.005
5.38E-05,0.005
5.40E-05,0.005
5.42E-05,0.005
5.44E-05,0.005
5.46E-05,0.006
5.48E-05,0.006
5.50E-05,0.006
5.52E-05,0.005
5.54E-05,0.005
5.56E-05,0.006
5.58E-05,0.006
5.60E-05,0.006
5.62E-05,0.006
5.64E-05,0.005
5.66E-05,0.006
5.68E-05,0.006
5.70E-05,0.005
5.72E-05,0.006
5.74E-05,0.006
5.76E-05,0.006
5.78E-05,0.006
5.80E-05,0.006
5.82E-05,0.006
5.84E-05,0.005
5.86E-05,0.005
5.88E-05,0.006
5.90E-05,0.006
5.92E-05,0.006
5.94E-05,0.006
5.96E-05,0.006
5.98E-05,0.006
6.00E-05,0.006
6.02E-05,0.006
6.04E-05,0.007
6.06E-05,0.006
6.08E-05,0.006
6.10E-05,0.006
6.12E-05,0.006
6.14E-05,0.007
6.16E-05,0.007
6.18E-05,0.008
6.20E-05,0.007
6.22E-05,0.006
6.24E-05,0.006
6.26E-05,0.006
6.28E-05,0.006
6.30E-05,0.006
6.32E-05,0.005
6.34E-05,0.006
6.36E-05,0.006
6.38E-05,0.006
6.40E-05,0.005
6.42E-05,0.005
6.44E-05,0.005
6.46E-05,0.005
6.48E-05,0.005
6.50E-05,0.005
6.52E-05,0.005
6.54E-05,0.005
6.56E-05,0.006
6.58E-05,0.006
6.60E-05,0.005
6.62E-05,0.006
6.64E-05,0.005
6.66E-05,0.005
6.68E-05,0.005
6.70E-05,0.005
6.72E-05,0.005
6.74E-05,0.005
6.76E-05,0.005
6.78E-05,0.006
6.80E-05,0.006
6.82E-05,0.005
6.84E-05,0.006
6.86E-05,0.005
6.88E-05,0.006
6.90E-05,0.007
6.92E-05,0.005
6.94E-05,0.006
6.96E-05,0.006
6.98E-05,0.005
7.00E-05,0.006
7.02E-05,0.006
7.04E-05,0.007
7.06E-05,0.006
7.08E-05,0.006
7.10E-05,0.006
7.12E-05,0.006
7.14E-05,0.006
7.16E-05,0.008
7.18E-05,0.007
7.20E-05,0.007
7.22E-05,0.007
7.24E-05,0.007
7.26E-05,0.006
7.28E-05,0.006
7.30E-05,0.007
7.32E-05,0.007
7.34E-05,0.007
7.36E-05,0.006
7.38E-05,0.007
7.40E-05,0.007
7.42E-05,0.009
7.44E-05,0.009
7.46E-05,0.008
7.48E-05,0.008
7.50E-05,0.008
7.52E-05,0.008
7.54E-05,0.009
7.56E-05,0.008
7.58E-05,0.007
7.60E-05,0.008
7.62E-05,0.008
7.64E-05,0.008
7.66E-05,0.008
7.68E-05,0.008
7.70E-05,0.008
7.72E-05,0.008
7.74E-05,0.008
7.76E-05,0.009
7.78E-05,0.008
7.80E-05,0.007
7.82E-05,0.008
7.84E-05,0.008
7.86E-05,0.008
7.88E-05,0.008
7.90E-05,0.009
7.92E-05,0.008
7.94E-05,0.008
7.96E-05,0.008
7.98E-05,0.008
8.00E-05,0.008
8.02E-05,0.009
8.04E-05,0.009
8.06E-05,0.009
8.08E-05,0.008
8.10E-05,0.008
8.12E-05,0.009
8.14E-05,0.009
8.16E-05,0.009
8.18E-05,0.008
8.20E-05,0.008
8.22E-05,0.008
8.24E-05,0.008
8.26E-05,0.008
8.28E-05,0.009
8.30E-05,0.007
8.32E-05,0.008
8.34E-05,0.007
8.36E-05,0.007
8.38E-05,0.006
8.40E-05,0.006
8.42E-05,0.006
8.44E-05,0.006
8.46E-05,0.006
8.48E-05,0.006
8.50E-05,0.006
8.52E-05,0.006
8.54E-05,0.005
8.56E-05,0.005
8.58E-05,0.006
8.60E-05,0.005
8.62E-05,0.006
8.64E-05,0.005
8.66E-05,0.005
8.68E-05,0.005
8.70E-05,0.005
8.72E-05,0.004
8.74E-05,0.005
8.76E-05,0.004
8.78E-05,0.004
8.80E-05,0.004
8.82E-05,0.004
8.84E-05,0.005
8.86E-05,0.004
8.88E-05,0.004
8.90E-05,0.004
8.92E-05,0.004
8.94E-05,0.004
8.96E-05,0.003
