#timebase=40000000(ps)
,#voltbase=5000(mv/100)
#size=4064
2.00E-07,0.007
4.00E-07,0.007
6.00E-07,0.008
8.00E-07,0.007
1.00E-06,0.007
1.20E-06,0.007
1.40E-06,0.006
1.60E-06,0.006
1.80E-06,0.006
2.00E-06,0.006
2.20E-06,0.006
2.40E-06,0.007
2.60E-06,0.007
2.80E-06,0.007
3.00E-06,0.007
3.20E-06,0.007
3.40E-06,0.007
3.60E-06,0.007
3.80E-06,0.007
4.00E-06,0.007
4.20E-06,0.008
4.40E-06,0.007
4.60E-06,0.007
4.80E-06,0.008
5.00E-06,0.007
5.20E-06,0.008
5.40E-06,0.007
5.60E-06,0.007
5.80E-06,0.006
6.00E-06,0.007
6.20E-06,0.007
6.40E-06,0.007
6.60E-06,0.007
6.80E-06,0.006
7.00E-06,0.006
7.20E-06,0.007
7.40E-06,0.006
7.60E-06,0.007
7.80E-06,0.006
8.00E-06,0.006
8.20E-06,0.006
8.40E-06,0.006
8.60E-06,0.005
8.80E-06,0.006
9.00E-06,0.006
9.20E-06,0.007
9.40E-06,0.006
9.60E-06,0.006
9.80E-06,0.005
1.00E-05,0.006
1.02E-05,0.007
1.04E-05,0.006
1.06E-05,0.006
1.08E-05,0.007
1.10E-05,0.007
1.12E-05,0.007
1.14E-05,0.007
1.16E-05,0.006
1.18E-05,0.007
1.20E-05,0.007
1.22E-05,0.006
1.24E-05,0.007
1.26E-05,0.007
1.28E-05,0.006
1.30E-05,0.007
1.32E-05,0.008
1.34E-05,0.006
1.36E-05,0.007
1.38E-05,0.007
1.40E-05,0.007
1.42E-05,0.007
1.44E-05,0.007
1.46E-05,0.007
1.48E-05,0.007
1.50E-05,0.007
1.52E-05,0.007
1.54E-05,0.007
1.56E-05,0.007
1.58E-05,0.007
1.60E-05,0.007
1.62E-05,0.008
1.64E-05,0.008
1.66E-05,0.008
1.68E-05,0.008
1.70E-05,0.009
1.72E-05,0.008
1.74E-05,0.008
1.76E-05,0.008
1.78E-05,0.009
1.80E-05,0.009
1.82E-05,0.009
1.84E-05,0.009
1.86E-05,0.009
1.88E-05,0.009
1.90E-05,0.009
1.92E-05,0.009
1.94E-05,0.008
1.96E-05,0.008
1.98E-05,0.009
2.00E-05,0.009
2.02E-05,0.009
2.04E-05,0.008
2.06E-05,0.009
2.08E-05,0.009
2.10E-05,0.009
2.12E-05,0.009
2.14E-05,0.008
2.16E-05,0.007
2.18E-05,0.008
2.20E-05,0.008
2.22E-05,0.009
2.24E-05,0.008
2.26E-05,0.009
2.28E-05,0.009
2.30E-05,0.008
2.32E-05,0.009
2.34E-05,0.009
2.36E-05,0.009
2.38E-05,0.009
2.40E-05,0.009
2.42E-05,0.006
2.44E-05,0.009
2.46E-05,0.010
2.48E-05,0.010
2.50E-05,0.010
2.52E-05,0.011
2.54E-05,0.009
2.56E-05,0.008
2.58E-05,0.009
2.60E-05,0.009
2.62E-05,0.008
2.64E-05,0.008
2.66E-05,0.009
2.68E-05,0.007
2.70E-05,0.008
2.72E-05,0.008
2.74E-05,0.007
2.76E-05,0.007
2.78E-05,0.006
2.80E-05,0.007
2.82E-05,0.007
2.84E-05,0.007
2.86E-05,0.007
2.88E-05,0.008
2.90E-05,0.008
2.92E-05,0.008
2.94E-05,0.008
2.96E-05,0.007
2.98E-05,0.008
3.00E-05,0.008
3.02E-05,0.008
3.04E-05,0.008
3.06E-05,0.008
3.08E-05,0.008
3.10E-05,0.008
3.12E-05,0.008
3.14E-05,0.008
3.16E-05,0.008
3.18E-05,0.008
3.20E-05,0.008
3.22E-05,0.007
3.24E-05,0.008
3.26E-05,0.009
3.28E-05,0.009
3.30E-05,0.008
3.32E-05,0.008
3.34E-05,0.009
3.36E-05,0.007
3.38E-05,0.008
3.40E-05,0.009
3.42E-05,0.009
3.44E-05,0.009
3.46E-05,0.008
3.48E-05,0.008
3.50E-05,0.009
3.52E-05,0.008
3.54E-05,0.008
3.56E-05,0.009
3.58E-05,0.009
3.60E-05,0.009
3.62E-05,0.009
3.64E-05,0.009
3.66E-05,0.009
3.68E-05,0.010
3.70E-05,0.010
3.72E-05,0.011
3.74E-05,0.011
3.76E-05,0.010
3.78E-05,0.009
3.80E-05,0.010
3.82E-05,0.010
3.84E-05,0.010
3.86E-05,0.010
3.88E-05,0.012
3.90E-05,0.010
3.92E-05,0.010
3.94E-05,0.010
3.96E-05,0.009
3.98E-05,0.010
4.00E-05,0.010
4.02E-05,0.010
4.04E-05,0.010
4.06E-05,0.010
4.08E-05,0.010
4.10E-05,0.011
4.12E-05,0.010
4.14E-05,0.010
4.16E-05,0.010
4.18E-05,0.010
4.20E-05,0.009
4.22E-05,0.010
4.24E-05,0.010
4.26E-05,0.009
4.28E-05,0.010
4.30E-05,0.010
