#timebase=40000000(ps)
,#voltbase=5000(mv/100)
2.78E-05,0.005
2.80E-05,0.005
2.82E-05,0.006
2.84E-05,0.006
2.86E-05,0.005
2.88E-05,0.005
2.90E-05,0.006
2.92E-05,0.005
2.94E-05,0.005
2.96E-05,0.006
2.98E-05,0.005
3.00E-05,0.005
3.02E-05,0.005
3.04E-05,0.005
3.06E-05,0.006
3.08E-05,0.005
3.10E-05,0.006
3.12E-05,0.007
3.14E-05,0.007
3.16E-05,0.007
3.18E-05,0.007
3.20E-05,0.005
3.22E-05,0.006
3.24E-05,0.007
3.26E-05,0.006
3.28E-05,0.007
3.30E-05,0.007
3.32E-05,0.006
3.34E-05,0.007
3.36E-05,0.005
3.38E-05,0.007
3.40E-05,0.008
3.42E-05,0.008
3.44E-05,0.006
3.46E-05,0.006
3.48E-05,0.006
3.50E-05,0.007
3.52E-05,0.007
3.54E-05,0.007
3.56E-05,0.005
3.58E-05,0.007
3.60E-05,0.007
3.62E-05,0.007
3.64E-05,0.007
3.66E-05,0.006
3.68E-05,0.006
3.70E-05,0.007
3.72E-05,0.007
3.74E-05,0.008
3.76E-05,0.007
3.78E-05,0.007
3.80E-05,0.006
3.82E-05,0.007
3.84E-05,0.007
3.86E-05,0.007
3.88E-05,0.007
3.90E-05,0.007
3.92E-05,0.008
3.94E-05,0.009
3.96E-05,0.008
3.98E-05,0.008
4.00E-05,0.008
4.02E-05,0.008
4.04E-05,0.007
4.06E-05,0.007
4.08E-05,0.007
4.10E-05,0.007
4.12E-05,0.008
4.14E-05,0.006
4.16E-05,0.007
4.18E-05,0.006
4.20E-05,0.006
4.22E-05,0.006
4.24E-05,0.007
4.26E-05,0.006
4.28E-05,0.006
4.30E-05,0.005
4.32E-05,0.006
4.34E-05,0.007
4.36E-05,0.006
4.38E-05,0.007
4.40E-05,0.007
4.42E-05,0.006
4.44E-05,0.007
4.46E-05,0.006
4.48E-05,0.006
4.50E-05,0.006
4.52E-05,0.006
4.54E-05,0.006
4.56E-05,0.006
4.58E-05,0.006
4.60E-05,0.008
4.62E-05,0.007
4.64E-05,0.006
4.66E-05,0.006
4.68E-05,0.007
4.70E-05,0.007
4.72E-05,0.008
4.74E-05,0.007
4.76E-05,0.007
4.78E-05,0.008
4.80E-05,0.007
4.82E-05,0.007
4.84E-05,0.007
4.86E-05,0.007
4.88E-05,0.007
4.90E-05,0.007
4.92E-05,0.007
4.94E-05,0.007
4.96E-05,0.007
4.98E-05,0.007
5.00E-05,0.007
5.02E-05,0.008
5.04E-05,0.008
5.06E-05,0.008
5.08E-05,0.008
5.10E-05,0.008
5.12E-05,0.008
5.14E-05,0.009
5.16E-05,0.009
5.18E-05,0.009
5.20E-05,0.009
5.22E-05,0.009
5.24E-05,0.009
5.26E-05,0.009
5.28E-05,0.009
5.30E-05,0.009
5.32E-05,0.009
5.34E-05,0.009
5.36E-05,0.009
5.38E-05,0.009
5.40E-05,0.009
5.42E-05,0.009
5.44E-05,0.009
5.46E-05,0.009
5.48E-05,0.009
5.50E-05,0.009
5.52E-05,0.009
5.54E-05,0.008
5.56E-05,0.010
5.58E-05,0.009
5.60E-05,0.009
5.62E-05,0.009
5.64E-05,0.009
5.66E-05,0.009
5.68E-05,0.009
5.70E-05,0.008
5.72E-05,0.008
5.74E-05,0.010
5.76E-05,0.010
5.78E-05,0.009
5.80E-05,0.009
5.82E-05,0.009
5.84E-05,0.009
5.86E-05,0.010
5.88E-05,0.008
5.90E-05,0.011
5.92E-05,0.010
5.94E-05,0.009
5.96E-05,0.009
5.98E-05,0.009
6.00E-05,0.009
6.02E-05,0.009
6.04E-05,0.008
6.06E-05,0.008
6.08E-05,0.009
6.10E-05,0.008
6.12E-05,0.008
6.14E-05,0.008
6.16E-05,0.008
6.18E-05,0.008
6.20E-05,0.008
6.22E-05,0.008
6.24E-05,0.008
6.26E-05,0.008
6.28E-05,0.008
6.30E-05,0.008
6.32E-05,0.007
6.34E-05,0.007
6.36E-05,0.009
6.38E-05,0.008
6.40E-05,0.008
6.42E-05,0.008
6.44E-05,0.008
6.46E-05,0.008
6.48E-05,0.008
6.50E-05,0.009
6.52E-05,0.009
6.54E-05,0.009
6.56E-05,0.008
6.58E-05,0.008
6.60E-05,0.008
6.62E-05,0.008
6.64E-05,0.008
6.66E-05,0.008
6.68E-05,0.008
6.70E-05,0.007
6.72E-05,0.007
6.74E-05,0.007
6.76E-05,0.007
6.78E-05,0.009
6.80E-05,0.007
6.82E-05,0.006
6.84E-05,0.006
6.86E-05,0.006
6.88E-05,0.005
6.90E-05,0.006
6.92E-05,0.006
6.94E-05,0.006
6.96E-05,0.005
6.98E-05,0.006
7.00E-05,0.005
7.02E-05,0.005
7.04E-05,0.005
7.06E-05,0.005
7.08E-05,0.005
7.10E-05,0.005
7.12E-05,0.005
7.14E-05,0.005
7.16E-05,0.006
7.18E-05,0.006
7.20E-05,0.005
7.22E-05,0.005
7.24E-05,0.005
7.26E-05,0.005
7.28E-05,0.005
7.30E-05,0.005
7.32E-05,0.003
7.34E-05,0.004
7.36E-05,0.004
7.38E-05,0.004
7.40E-05,0.004
7.42E-05,0.004
7.44E-05,0.004
7.46E-05,0.003
7.48E-05,0.004
7.50E-05,0.003
7.52E-05,0.004
7.54E-05,0.004
7.56E-05,0.003
7.58E-05,0.003
7.60E-05,0.003
7.62E-05,0.003
7.64E-05,0.003
7.66E-05,0.003
7.68E-05,0.003
7.70E-05,0.003
7.72E-05,0.003
7.74E-05,0.003
7.76E-05,0.004
7.78E-05,0.002
7.80E-05,0.002
7.82E-05,0.003
7.84E-05,0.003
7.86E-05,0.003
7.88E-05,0.003
7.90E-05,0.003
7.92E-05,0.002
7.94E-05,0.002
7.96E-05,0.003
7.98E-05,0.002
8.00E-05,0.002
8.02E-05,0.002
8.04E-05,0.002
8.06E-05,0.002
8.08E-05,0.001
8.10E-05,0.002
8.12E-05,0.001
8.14E-05,0.001
8.16E-05,0.002
8.18E-05,0.001
8.20E-05,-0.001
8.22E-05,0.000
8.24E-05,0.001
8.26E-05,0.001
8.28E-05,0.001
8.30E-05,0.001
8.32E-05,0.001
8.34E-05,0.001
8.36E-05,0.001
8.38E-05,0.001
8.40E-05,0.001
8.42E-05,0.000
8.44E-05,0.001
8.46E-05,-0.000
8.48E-05,0.000
8.50E-05,0.001
8.52E-05,0.001
8.54E-05,0.001
8.56E-05,0.002
8.58E-05,0.001
8.60E-05,0.000
8.62E-05,0.001
8.64E-05,0.002
8.66E-05,0.001
8.68E-05,0.001
8.70E-05,0.002
8.72E-05,0.002
8.74E-05,0.002
8.76E-05,0.002
8.78E-05,0.002
8.80E-05,0.002
8.82E-05,0.002
8.84E-05,0.001
8.86E-05,0.001
8.88E-05,0.001
8.90E-05,0.001
8.92E-05,0.001
8.94E-05,0.002
8.96E-05,0.002
8.98E-05,0.002
9.00E-05,0.002
9.02E-05,0.001
9.04E-05,0.003
9.06E-05,0.002
9.08E-05,0.003
9.10E-05,0.002
9.12E-05,0.003
9.14E-05,0.003
9.16E-05,0.003
9.18E-05,0.004
9.20E-05,0.003
9.22E-05,0.004
9.24E-05,0.004
9.26E-05,0.003
9.28E-05,0.002
9.30E-05,0.003
9.32E-05,0.003
9.34E-05,0.003
9.36E-05,0.003
9.38E-05,0.004
9.40E-05,0.003
9.42E-05,0.003
9.44E-05,0.004
9.46E-05,0.003
9.48E-05,0.005
9.50E-05,0.004
9.52E-05,0.003
9.54E-05,0.004
9.56E-05,0.004
9.58E-05,0.004
9.60E-05,0.003
9.62E-05,0.004
9.64E-05,0.003
9.66E-05,0.003
9.68E-05,0.004
9.70E-05,0.004
9.72E-05,0.004
9.74E-05,0.004
9.76E-05,0.004
9.78E-05,0.004
9.80E-05,0.004
9.82E-05,0.004
9.84E-05,0.004
9.86E-05,0.004
9.88E-05,0.003
9.90E-05,0.004
9.92E-05,0.003
9.94E-05,0.004
9.96E-05,0.002
9.98E-05,0.003
1.00E-04,0.003
1.00E-04,0.004
1.00E-04,0.003
1.01E-04,0.002
1.01E-04,0.003
1.01E-04,0.003
1.01E-04,0.003
1.01E-04,0.003
1.02E-04,0.004
1.02E-04,0.003
1.02E-04,0.003
1.02E-04,0.003
1.02E-04,0.003
1.03E-04,0.003
1.03E-04,0.003
1.03E-04,0.003
1.03E-04,0.001
1.03E-04,0.004
1.04E-04,0.003
1.04E-04,0.003
1.04E-04,0.004
1.04E-04,0.004
1.04E-04,0.004
1.05E-04,0.004
1.05E-04,0.003
1.05E-04,0.003
1.05E-04,0.004
1.05E-04,0.004
1.06E-04,0.004
1.06E-04,0.005
1.06E-04,0.004
1.06E-04,0.003
1.06E-04,0.004
1.07E-04,0.004
1.07E-04,0.004
1.07E-04,0.002
1.07E-04,0.004
1.07E-04,0.005
1.08E-04,0.005
1.08E-04,0.004
1.08E-04,0.004
1.08E-04,0.004
1.08E-04,0.005
1.09E-04,0.004
1.09E-04,0.004
1.09E-04,0.004
1.09E-04,0.004
1.09E-04,0.004
1.10E-04,0.004
1.10E-04,0.005
1.10E-04,0.006
1.10E-04,0.006
1.10E-04,0.006
1.11E-04,0.006
1.11E-04,0.005
1.11E-04,0.006
1.11E-04,0.006
1.11E-04,0.006
1.12E-04,0.006
1.12E-04,0.006
1.12E-04,0.006
1.12E-04,0.006
1.12E-04,0.005
1.13E-04,0.006
1.13E-04,0.006
1.13E-04,0.007
1.13E-04,0.006
1.13E-04,0.007
1.14E-04,0.006
1.14E-04,0.006
1.14E-04,0.006
1.14E-04,0.006
1.14E-04,0.006
1.15E-04,0.006
1.15E-04,0.006
1.15E-04,0.006
1.15E-04,0.007
1.15E-04,0.007
1.16E-04,0.007
1.16E-04,0.007
1.16E-04,0.006
1.16E-04,0.007
1.16E-04,0.006
1.17E-04,0.006
1.17E-04,0.006
1.17E-04,0.007
1.17E-04,0.007
1.17E-04,0.007
1.18E-04,0.007
1.18E-04,0.007
1.18E-04,0.008
1.18E-04,0.007
1.18E-04,0.006
1.19E-04,0.007
1.19E-04,0.006
1.19E-04,0.005
1.19E-04,0.005
1.19E-04,0.006
1.20E-04,0.006
1.20E-04,0.006
1.20E-04,0.006
1.20E-04,0.005
1.20E-04,0.006
1.21E-04,0.005
1.21E-04,0.006
1.21E-04,0.005
1.21E-04,0.005
1.21E-04,0.005
1.22E-04,0.006
1.22E-04,0.005
1.22E-04,0.005
1.22E-04,0.005
1.22E-04,0.006
1.23E-04,0.006
1.23E-04,0.005
1.23E-04,0.006
1.23E-04,0.006
1.23E-04,0.005
1.24E-04,0.006
1.24E-04,0.006
1.24E-04,0.006
1.24E-04,0.006
1.24E-04,0.007
1.25E-04,0.006
1.25E-04,0.006
1.25E-04,0.006
1.25E-04,0.006
1.25E-04,0.007
1.26E-04,0.007
1.26E-04,0.007
1.26E-04,0.007
1.26E-04,0.007
1.26E-04,0.006
1.27E-04,0.006
1.27E-04,0.006
1.27E-04,0.007
1.27E-04,0.007
1.27E-04,0.006
1.28E-04,0.007
1.28E-04,0.007
1.28E-04,0.006
1.28E-04,0.006
1.28E-04,0.006
1.29E-04,0.007
1.29E-04,0.007
1.29E-04,0.006
1.29E-04,0.007
1.29E-04,0.007
1.30E-04,0.008
1.30E-04,0.007
1.30E-04,0.008
1.30E-04,0.009
1.30E-04,0.009
1.31E-04,0.008
1.31E-04,0.010
1.31E-04,0.008
1.31E-04,0.008
1.31E-04,0.009
1.32E-04,0.008
1.32E-04,0.009
1.32E-04,0.007
1.32E-04,0.008
1.32E-04,0.009
1.33E-04,0.008
1.33E-04,0.008
1.33E-04,0.008
1.33E-04,0.008
1.33E-04,0.008
1.34E-04,0.008
1.34E-04,0.008
1.34E-04,0.009
1.34E-04,0.009
1.34E-04,0.008
1.35E-04,0.008
1.35E-04,0.008
1.35E-04,0.008
1.35E-04,0.008
1.35E-04,0.009
1.36E-04,0.008
1.36E-04,0.008
1.36E-04,0.008
1.36E-04,0.009
1.36E-04,0.009
1.37E-04,0.008
1.37E-04,0.009
1.37E-04,0.008
1.37E-04,0.009
1.37E-04,0.008
1.38E-04,0.009
1.38E-04,0.009
1.38E-04,0.009
1.38E-04,0.008
1.38E-04,0.008
1.39E-04,0.009
1.39E-04,0.009
1.39E-04,0.008
1.39E-04,0.008
1.39E-04,0.008
1.40E-04,0.007
1.40E-04,0.008
1.40E-04,0.007
1.40E-04,0.007
1.40E-04,0.008
1.41E-04,0.008
1.41E-04,0.007
1.41E-04,0.008
1.41E-04,0.007
1.41E-04,0.008
1.42E-04,0.007
1.42E-04,0.008
1.42E-04,0.008
1.42E-04,0.008
1.42E-04,0.007
1.43E-04,0.007
1.43E-04,0.008
1.43E-04,0.007
1.43E-04,0.007
1.43E-04,0.007
1.44E-04,0.008
1.44E-04,0.008
1.44E-04,0.008
1.44E-04,0.008
1.44E-04,0.009
1.45E-04,0.009
1.45E-04,0.008
1.45E-04,0.008
1.45E-04,0.008
1.45E-04,0.008
1.46E-04,0.008
1.46E-04,0.008
1.46E-04,0.008
1.46E-04,0.010
1.46E-04,0.008
1.47E-04,0.008
1.47E-04,0.009
1.47E-04,0.008
1.47E-04,0.009
1.47E-04,0.008
1.48E-04,0.008
1.48E-04,0.009
1.48E-04,0.008
1.48E-04,0.009
1.48E-04,0.009
1.49E-04,0.009
1.49E-04,0.009
1.49E-04,0.009
1.49E-04,0.009
1.49E-04,0.009
1.50E-04,0.009
1.50E-04,0.010
1.50E-04,0.009
1.50E-04,0.010
1.50E-04,0.010
1.51E-04,0.010
1.51E-04,0.010
1.51E-04,0.010
1.51E-04,0.010
1.51E-04,0.010
1.52E-04,0.010
1.52E-04,0.010
1.52E-04,0.010
1.52E-04,0.010
1.52E-04,0.011
1.53E-04,0.010
1.53E-04,0.010
1.53E-04,0.009
1.53E-04,0.009
1.53E-04,0.009
1.54E-04,0.009
1.54E-04,0.010
1.54E-04,0.009
1.54E-04,0.010
1.54E-04,0.009
1.55E-04,0.010
1.55E-04,0.009
1.55E-04,0.009
1.55E-04,0.010
1.55E-04,0.011
1.56E-04,0.009
1.56E-04,0.009
1.56E-04,0.010
1.56E-04,0.010
1.56E-04,0.010
1.57E-04,0.010
1.57E-04,0.010
1.57E-04,0.008
1.57E-04,0.010
1.57E-04,0.010
1.58E-04,0.010
1.58E-04,0.010
1.58E-04,0.009
1.58E-04,0.010
1.58E-04,0.009
1.59E-04,0.009
1.59E-04,0.009
1.59E-04,0.009
1.59E-04,0.009
1.59E-04,0.008
1.60E-04,0.008
1.60E-04,0.009
1.60E-04,0.008
1.60E-04,0.009
1.60E-04,0.009
1.61E-04,0.007
1.61E-04,0.009
1.61E-04,0.009
1.61E-04,0.009
1.61E-04,0.009
1.62E-04,0.008
1.62E-04,0.009
1.62E-04,0.009
1.62E-04,0.009
1.62E-04,0.010
1.63E-04,0.008
1.63E-04,0.007
1.63E-04,0.008
1.63E-04,0.008
1.63E-04,0.009
1.64E-04,0.009
1.64E-04,0.010
1.64E-04,0.009
1.64E-04,0.009
1.64E-04,0.009
1.65E-04,0.009
1.65E-04,0.009
1.65E-04,0.009
1.65E-04,0.009
1.65E-04,0.008
1.66E-04,0.009
1.66E-04,0.010
1.66E-04,0.009
1.66E-04,0.010
1.66E-04,0.009
1.67E-04,0.009
1.67E-04,0.010
1.67E-04,0.008
1.67E-04,0.009
1.67E-04,0.010
1.68E-04,0.009
1.68E-04,0.010
1.68E-04,0.010
1.68E-04,0.010
1.68E-04,0.010
1.69E-04,0.010
1.69E-04,0.011
1.69E-04,0.010
1.69E-04,0.011
1.69E-04,0.011
1.70E-04,0.011
1.70E-04,0.011
1.70E-04,0.011
1.70E-04,0.011
1.70E-04,0.011
1.71E-04,0.011
1.71E-04,0.010
1.71E-04,0.011
1.71E-04,0.011
1.71E-04,0.010
1.72E-04,0.011
1.72E-04,0.010
1.72E-04,0.011
1.72E-04,0.011
1.72E-04,0.011
1.73E-04,0.011
1.73E-04,0.011
1.73E-04,0.010
1.73E-04,0.010
1.73E-04,0.010
1.74E-04,0.010
1.74E-04,0.010
1.74E-04,0.010
1.74E-04,0.011
1.74E-04,0.011
1.75E-04,0.010
1.75E-04,0.010
1.75E-04,0.010
1.75E-04,0.010
1.75E-04,0.010
1.76E-04,0.010
1.76E-04,0.011
1.76E-04,0.011
1.76E-04,0.011
1.76E-04,0.011
1.77E-04,0.011
1.77E-04,0.011
1.77E-04,0.011
1.77E-04,0.011
1.77E-04,0.011
1.78E-04,0.010
1.78E-04,0.010
1.78E-04,0.010
1.78E-04,0.010
1.78E-04,0.010
1.79E-04,0.010
1.79E-04,0.009
1.79E-04,0.009
1.79E-04,0.009
1.79E-04,0.009
1.80E-04,0.009
1.80E-04,0.009
1.80E-04,0.008
1.80E-04,0.008
1.80E-04,0.008
1.81E-04,0.007
1.81E-04,0.008
1.81E-04,0.007
1.81E-04,0.007
1.81E-04,0.007
1.82E-04,0.007
1.82E-04,0.007
1.82E-04,0.006
1.82E-04,0.005
1.82E-04,0.006
1.83E-04,0.006
1.83E-04,0.006
1.83E-04,0.005
1.83E-04,0.005
1.83E-04,0.005
1.84E-04,0.005
1.84E-04,0.004
1.84E-04,0.005
1.84E-04,0.005
1.84E-04,0.005
1.85E-04,0.005
1.85E-04,0.004
1.85E-04,0.004
1.85E-04,0.005
1.85E-04,0.004
1.86E-04,0.003
1.86E-04,0.004
1.86E-04,0.004
1.86E-04,0.004
1.86E-04,0.004
1.87E-04,0.005
1.87E-04,0.005
1.87E-04,0.003
1.87E-04,0.003
1.87E-04,0.004
1.88E-04,0.003
1.88E-04,0.003
1.88E-04,0.004
1.88E-04,0.003
1.88E-04,0.003
1.89E-04,0.004
1.89E-04,0.004
1.89E-04,0.005
1.89E-04,0.004
1.89E-04,0.004
1.90E-04,0.004
1.90E-04,0.004
1.90E-04,0.004
1.90E-04,0.004
1.90E-04,0.003
1.91E-04,0.004
1.91E-04,0.004
1.91E-04,0.004
1.91E-04,0.004
1.91E-04,0.003
1.92E-04,0.003
1.92E-04,0.003
1.92E-04,0.004
1.92E-04,0.003
1.92E-04,0.003
1.93E-04,0.003
1.93E-04,0.002
1.93E-04,0.003
1.93E-04,0.003
1.93E-04,0.003
1.94E-04,0.003
1.94E-04,0.002
1.94E-04,0.003
1.94E-04,0.002
1.94E-04,0.003
1.95E-04,0.003
1.95E-04,0.004
1.95E-04,0.002
1.95E-04,0.002
1.95E-04,0.003
1.96E-04,0.002
1.96E-04,0.003
1.96E-04,0.004
1.96E-04,0.002
1.96E-04,0.003
1.97E-04,0.003
1.97E-04,0.003
1.97E-04,0.002
1.97E-04,0.002
1.97E-04,0.002
1.98E-04,0.002
1.98E-04,0.002
1.98E-04,0.001
1.98E-04,0.001
1.98E-04,0.001
1.99E-04,0.002
1.99E-04,0.000
1.99E-04,0.001
1.99E-04,0.001
1.99E-04,0.002
2.00E-04,0.000
2.00E-04,0.001
2.00E-04,0.002
2.00E-04,0.000
2.00E-04,0.000
2.01E-04,0.001
2.01E-04,0.001
2.01E-04,0.001
2.01E-04,-0.000
2.01E-04,0.001
2.02E-04,0.001
2.02E-04,0.001
2.02E-04,0.002
2.02E-04,0.001
2.02E-04,0.001
2.03E-04,0.000
2.03E-04,0.001
2.03E-04,0.001
2.03E-04,0.001
2.03E-04,0.001
2.04E-04,0.001
2.04E-04,0.001
2.04E-04,0.001
2.04E-04,0.001
2.04E-04,0.001
2.05E-04,0.002
2.05E-04,0.001
2.05E-04,0.001
2.05E-04,0.002
2.05E-04,0.002
2.06E-04,0.002
2.06E-04,0.002
2.06E-04,0.001
2.06E-04,0.001
2.06E-04,0.001
2.07E-04,0.002
2.07E-04,0.002
2.07E-04,0.001
2.07E-04,0.002
2.07E-04,0.002
2.08E-04,0.002
2.08E-04,0.002
2.08E-04,0.002
2.08E-04,0.002
2.08E-04,0.003
2.09E-04,0.003
2.09E-04,0.002
2.09E-04,0.003
2.09E-04,0.003
2.09E-04,0.003
2.10E-04,0.003
2.10E-04,0.003
2.10E-04,0.003
2.10E-04,0.003
2.10E-04,0.003
2.11E-04,0.003
2.11E-04,0.003
2.11E-04,0.003
2.11E-04,0.003
2.11E-04,0.004
2.12E-04,0.004
2.12E-04,0.003
2.12E-04,0.003
2.12E-04,0.003
2.12E-04,0.003
2.13E-04,0.004
2.13E-04,0.003
2.13E-04,0.003
2.13E-04,0.002
2.13E-04,0.003
2.14E-04,0.003
2.14E-04,0.004
2.14E-04,0.003
2.14E-04,0.003
2.14E-04,0.004
2.15E-04,0.003
2.15E-04,0.003
2.15E-04,0.003
2.15E-04,0.004
2.15E-04,0.004
2.16E-04,0.005
2.16E-04,0.004
2.16E-04,0.004
2.16E-04,0.004
2.16E-04,0.003
2.17E-04,0.003
2.17E-04,0.004
2.17E-04,0.003
2.17E-04,0.004
2.17E-04,0.004
2.18E-04,0.003
2.18E-04,0.003
2.18E-04,0.003
2.18E-04,0.002
2.18E-04,0.003
2.19E-04,0.002
2.19E-04,0.003
2.19E-04,0.002
2.19E-04,0.003
2.19E-04,0.003
2.20E-04,0.003
2.20E-04,0.003
2.20E-04,0.003
2.20E-04,0.004
2.20E-04,0.003
2.21E-04,0.002
2.21E-04,0.002
2.21E-04,0.003
2.21E-04,0.003
2.21E-04,0.003
2.22E-04,0.004
2.22E-04,0.003
2.22E-04,0.003
2.22E-04,0.003
2.22E-04,0.003
2.23E-04,0.003
2.23E-04,0.003
2.23E-04,0.004
2.23E-04,0.004
2.23E-04,0.004
2.24E-04,0.003
2.24E-04,0.004
2.24E-04,0.004
2.24E-04,0.004
2.24E-04,0.004
2.25E-04,0.004
2.25E-04,0.004
2.25E-04,0.004
2.25E-04,0.004
2.25E-04,0.004
2.26E-04,0.004
2.26E-04,0.004
2.26E-04,0.004
2.26E-04,0.004
2.26E-04,0.004
2.27E-04,0.004
2.27E-04,0.004
2.27E-04,0.005
2.27E-04,0.005
2.27E-04,0.005
2.28E-04,0.005
2.28E-04,0.005
2.28E-04,0.004
2.28E-04,0.005
2.28E-04,0.006
2.29E-04,0.005
2.29E-04,0.005
2.29E-04,0.005
2.29E-04,0.005
2.29E-04,0.005
2.30E-04,0.005
2.30E-04,0.004
2.30E-04,0.004
2.30E-04,0.004
2.30E-04,0.004
2.31E-04,0.004
2.31E-04,0.004
2.31E-04,0.004
2.31E-04,0.004
2.31E-04,0.004
2.32E-04,0.004
2.32E-04,0.004
2.32E-04,0.004
2.32E-04,0.004
2.32E-04,0.003
2.33E-04,0.002
2.33E-04,0.005
2.33E-04,0.003
2.33E-04,0.004
2.33E-04,0.004
2.34E-04,0.003
2.34E-04,0.004
2.34E-04,0.003
2.34E-04,0.003
2.34E-04,0.003
2.35E-04,0.004
2.35E-04,0.003
2.35E-04,0.003
2.35E-04,0.004
2.35E-04,0.004
2.36E-04,0.003
2.36E-04,0.004
2.36E-04,0.003
2.36E-04,0.002
2.36E-04,0.003
2.37E-04,0.002
2.37E-04,0.002
2.37E-04,0.002
2.37E-04,0.002
2.37E-04,0.002
2.38E-04,0.002
2.38E-04,0.001
2.38E-04,0.002
2.38E-04,0.001
2.38E-04,0.001
2.39E-04,0.000
2.39E-04,0.001
2.39E-04,0.001
2.39E-04,0.001
2.39E-04,0.001
2.40E-04,0.000
2.40E-04,0.001
2.40E-04,0.000
2.40E-04,0.000
2.40E-04,0.001
2.41E-04,0.001
2.41E-04,0.000
2.41E-04,0.001
2.41E-04,0.000
2.41E-04,0.002
2.42E-04,0.001
2.42E-04,0.001
2.42E-04,0.002
2.42E-04,0.001
2.42E-04,0.002
2.43E-04,0.002
2.43E-04,0.001
2.43E-04,0.002
2.43E-04,0.001
2.43E-04,0.001
2.44E-04,0.001
2.44E-04,0.002
2.44E-04,0.002
2.44E-04,0.002
2.44E-04,0.001
2.45E-04,0.002
2.45E-04,0.001
2.45E-04,0.001
2.45E-04,0.001
2.45E-04,0.002
2.46E-04,0.001
2.46E-04,0.001
2.46E-04,0.002
2.46E-04,0.002
2.46E-04,0.002
2.47E-04,0.003
2.47E-04,0.002
2.47E-04,0.002
2.47E-04,0.003
2.47E-04,0.003
2.48E-04,0.003
2.48E-04,0.003
2.48E-04,0.004
2.48E-04,0.003
2.48E-04,0.004
2.49E-04,0.004
2.49E-04,0.003
2.49E-04,0.004
2.49E-04,0.004
2.49E-04,0.004
2.50E-04,0.004
2.50E-04,0.004
2.50E-04,0.004
2.50E-04,0.004
2.50E-04,0.004
2.51E-04,0.004
2.51E-04,0.004
2.51E-04,0.003
2.51E-04,0.004
2.51E-04,0.003
2.52E-04,0.003
2.52E-04,0.003
2.52E-04,0.004
2.52E-04,0.004
2.52E-04,0.004
2.53E-04,0.004
2.53E-04,0.003
2.53E-04,0.004
2.53E-04,0.004
