#timebase=40000000(ps)
,#voltbase=5000(mv/100)
#size=4064
2.00E-07,0.005
4.00E-07,0.005
6.00E-07,0.005
8.00E-07,0.004
1.00E-06,0.005
1.20E-06,0.006
1.40E-06,0.005
1.60E-06,0.005
1.80E-06,0.005
2.00E-06,0.005
2.20E-06,0.005
2.40E-06,0.004
2.60E-06,0.005
2.80E-06,0.006
3.00E-06,0.006
3.20E-06,0.005
3.40E-06,0.005
3.60E-06,0.005
3.80E-06,0.005
4.00E-06,0.005
4.20E-06,0.006
4.40E-06,0.006
4.60E-06,0.005
4.80E-06,0.005
5.00E-06,0.006
5.20E-06,0.006
5.40E-06,0.005
5.60E-06,0.004
5.80E-06,0.005
6.00E-06,0.006
6.20E-06,0.006
6.40E-06,0.006
6.60E-06,0.006
6.80E-06,0.006
7.00E-06,0.006
7.20E-06,0.006
7.40E-06,0.005
7.60E-06,0.005
7.80E-06,0.005
8.00E-06,0.006
8.20E-06,0.006
8.40E-06,0.006
8.60E-06,0.008
8.80E-06,0.007
9.00E-06,0.007
9.20E-06,0.007
9.40E-06,0.008
9.60E-06,0.007
9.80E-06,0.007
1.00E-05,0.007
1.02E-05,0.008
1.04E-05,0.007
1.06E-05,0.007
1.08E-05,0.008
1.10E-05,0.007
1.12E-05,0.007
1.14E-05,0.008
1.16E-05,0.007
1.18E-05,0.008
1.20E-05,0.007
1.22E-05,0.007
1.24E-05,0.007
1.26E-05,0.007
1.28E-05,0.007
1.30E-05,0.007
1.32E-05,0.008
1.34E-05,0.007
1.36E-05,0.006
1.38E-05,0.006
1.40E-05,0.006
1.42E-05,0.006
1.44E-05,0.006
1.46E-05,0.006
1.48E-05,0.005
1.50E-05,0.005
1.52E-05,0.005
1.54E-05,0.004
1.56E-05,0.005
1.58E-05,0.005
1.60E-05,0.005
1.62E-05,0.004
1.64E-05,0.004
1.66E-05,0.005
1.68E-05,0.005
1.70E-05,0.004
1.72E-05,0.003
1.74E-05,0.003
1.76E-05,0.002
1.78E-05,0.000
1.80E-05,0.002
1.82E-05,0.001
1.84E-05,0.002
1.86E-05,0.002
1.88E-05,0.001
1.90E-05,0.001
1.92E-05,0.001
1.94E-05,0.001
1.96E-05,0.001
1.98E-05,0.001
2.00E-05,0.001
2.02E-05,0.001
2.04E-05,0.000
2.06E-05,0.001
2.08E-05,0.000
2.10E-05,-0.000
2.12E-05,0.000
2.14E-05,0.000
2.16E-05,-0.001
2.18E-05,-0.000
2.20E-05,-0.000
2.22E-05,-0.000
2.24E-05,-0.001
2.26E-05,0.000
2.28E-05,0.000
2.30E-05,-0.000
2.32E-05,-0.000
2.34E-05,-0.000
2.36E-05,-0.001
2.38E-05,-0.001
2.40E-05,-0.000
2.42E-05,-0.000
2.44E-05,0.002
2.46E-05,0.000
