321.79146248,0.00001445
321.89591671,-0.00002232
322.00038099,0.00001970
322.10485532,-0.00003808
322.20933970,0.00003020
322.31383412,-0.00003808
322.41833858,0.00001970
322.52285308,-0.00001707
322.62737762,0.00002495
322.73191218,-0.00004334
322.83645677,-0.00000131
322.94101138,-0.00002758
323.04557601,0.00001445
323.15015065,-0.00006960
323.25473531,0.00003546
323.35932998,-0.00003808
323.46393465,0.00001970
323.56854932,-0.00002758
323.67317400,0.00001445
323.77780866,-0.00003283
323.88245332,0.00000919
323.98710796,-0.00004334
324.09177259,0.00000919
324.19644720,-0.00003808
324.30113179,0.00001445
324.40582635,-0.00004859
324.51053087,0.00003546
324.61524537,-0.00002758
324.71996983,0.00002495
324.82470424,-0.00002758
324.92944862,0.00003020
325.03420294,-0.00002758
325.13896722,0.00003546
325.24374144,-0.00005384
325.34852560,0.00002495
325.45331970,-0.00003283
325.55812373,0.00000919
325.66293769,-0.00001182
325.76776159,0.00000394
325.87259540,-0.00002758
325.97743914,0.00001970
326.08229279,-0.00003283
326.18715636,-0.00000131
326.29202983,-0.00001707
326.39691322,0.00002495
326.50180650,-0.00003808
326.60670969,0.00003020
326.71162277,-0.00003283
326.81654574,0.00001970
326.92147860,-0.00002232
327.02642135,0.00000394
327.13137398,-0.00003283
327.23633649,0.00001970
327.34130887,-0.00004334
327.44629112,0.00001970
327.55128324,-0.00004334
327.65628523,0.00002495
327.76129707,-0.00002232
327.86631878,0.00003020
327.97135033,-0.00002232
328.07639174,0.00000919
328.18144299,-0.00001707
328.28650408,0.00002495
328.39157502,-0.00004334
328.49665579,0.00002495
328.60174639,-0.00003283
328.70684682,0.00001970
328.81195708,-0.00005384
328.91707716,0.00003020
329.02220705,-0.00003808
329.12734677,0.00002495
329.23249629,-0.00004859
329.33765562,-0.00001182
329.44282475,-0.00003808
329.54800369,0.00003546
329.65319242,-0.00002758
329.75839095,-0.00008536
329.86359926,-0.00002232
329.96881736,-0.00000657
330.07404525,-0.00002232
330.17928291,0.00000919
330.28453036,-0.00002232
330.38978757,0.00000919
330.49505455,-0.00003283
330.60033130,0.00000394
330.70561781,-0.00003283
330.81091407,-0.00000657
330.91622010,-0.00002232
331.02153587,0.00001970
331.12686139,-0.00002232
331.23219666,0.00003020
331.33754166,-0.00002232
331.44289641,0.00001970
331.54826088,-0.00003808
331.65363509,0.00001970
331.75901902,-0.00003283
331.86441268,0.00000919
331.96981606,-0.00004859
332.07522915,0.00000919
332.18065195,-0.00003283
332.28608447,0.00003020
332.39152669,-0.00003283
332.49697861,0.00001970
332.60244023,-0.00002758
332.70791154,0.00000919
332.81339255,-0.00004334
332.91888324,0.00002495
333.02438362,-0.00001707
333.12989368,0.00003020
333.23541341,-0.00002232
333.34094282,0.00003020
333.44648190,-0.00004334
333.55203065,-0.00015365
333.65758906,-0.00001707
333.76315713,0.00001970
333.86873485,-0.00002758
333.97432223,0.00002495
334.07991926,-0.00003808
334.18552593,0.00001445
334.29114224,-0.00001182
334.39676820,0.00003020
334.50240378,-0.00004859
334.60804900,0.00000919
334.71370385,-0.00003808
334.81936832,0.00003546
334.92504241,-0.00004859
335.03072612,0.00001970
335.13641944,-0.00003283
335.24212238,0.00001970
335.34783492,-0.00002758
335.45355706,0.00000394
335.55928880,-0.00001707
335.66503014,-0.00000657
335.77078107,-0.00003808
335.87654159,-0.00000131
335.98231170,-0.00002758
336.08809139,0.00000394
