deg,I
210,3.04
216,3.45
222,3.84
228,4.2
234,4.45
240,4.67
246,4.73
252,4.71
258,4.6
264,4.45
270,4.13
276,3.81
282,3.41
288,2.99
294,2.52
300,2.1
306,1.65
