deg,R_pi
15,0.05229437229
19,0.04935064935
23,0.04619047619
27,0.0416017316
31,0.03683982684
35,0.03350649351
39,0.03047619048
43,0.02437229437
47,0.01701298701
51,0.01069264069
55,0.006883116883
57,0.005930735931
59,0.006363636364
61,0.009307359307
65,0.02324675325
